month,state_tax_received,local_tax_received,year
February,2484170,,2016
March,4358754,,2016
April,3735111,,2016
May,4339440,,2016
June,5735508,,2016
July,5533949,,2016
August,7345281,,2016
September,6679584.57,,2016
October,7831157.43,,2016
November,6463877,,2016
December,5647600.41,,2016
January,5261096,,2017
February,4509162.73,682601.14,2017
March,4476031.86,705926.79,2017
April,4484514.15,685288.94,2017
May,5734618.16,903169,2017
June,6297024.68,980297.18,2017
July,5165585.31,778483.96,2017
August,6771924.06,1056063.82,2017
September,6442786.39,1002239.77,2017
October,6217859.63,1003269.08,2017
November,7044310.84,1065974.86,2017
December,6241331.77,935358.38,2017
January,8001998.51,1281581.36,2018
February,6700854.91,1007936.41,2018
