EMOT DISTRSS SO SEVERE NOTHING COULD CHEER YOU UP,EASIEST WAY TO TELL US # DAYS USED MARIJUANA/HASH,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
1 - Often,1 - Weekly,0.093716517,0.008507233,0.077969441,0.112256739,0.262781662,0.021793556,0.221401902,0.30882766,0.323347405,0.026326534,0.272869551,0.378304895,887348.7716,229,84272.61483
1 - Often,2 - Monthly,0.060817586,0.007055498,0.048097409,0.076631011,0.274096116,0.029645019,0.218709496,0.33745085,0.209837169,0.020310089,0.17193965,0.25353026,575847.3736,135,65797.80557
1 - Often,3 - Yearly,0.131282565,0.009459021,0.113421922,0.151475206,0.321890798,0.022604493,0.278261866,0.368864263,0.452960462,0.025397523,0.402613301,0.504288797,1243040.466,288,93768.3011
2 - Sometimes,1 - Weekly,0.166961675,0.011049551,0.145930265,0.190348588,0.468161513,0.027464216,0.413605816,0.52348916,0.370088616,0.021282045,0.328450822,0.413752713,1580865.807,404,107752.0549
2 - Sometimes,2 - Monthly,0.111159883,0.011012929,0.090889014,0.135278999,0.50098161,0.03474291,0.431629138,0.570296331,0.246397907,0.02069265,0.207222669,0.290267536,1052510.152,284,108065.2673
2 - Sometimes,3 - Yearly,0.167686698,0.009757174,0.148991898,0.188208453,0.411149838,0.022647315,0.366537283,0.457272669,0.37169571,0.020567879,0.331403415,0.413854486,1587730.648,408,107376.0093
3 - Rarely,1 - Weekly,0.069494783,0.009678703,0.052396075,0.091633828,0.194863778,0.025318884,0.148951572,0.250758004,0.348957141,0.039675448,0.274004705,0.432206461,658006.8532,144,96556.18488
3 - Rarely,2 - Monthly,0.039022429,0.00566852,0.029101507,0.052143824,0.175868477,0.023514151,0.133489378,0.228159152,0.195945,0.026334908,0.148354136,0.254244996,369481.3416,78,54699.44685
3 - Rarely,3 - Yearly,0.086516224,0.009046404,0.069989805,0.106498095,0.212128521,0.01808248,0.178073164,0.250710145,0.434427633,0.040509618,0.355495705,0.516831279,819173.2623,162,90492.44345
4 - Never,1 - Weekly,0.026459662,0.004521269,0.018745898,0.037227148,0.074193047,0.012331559,0.05292063,0.103085581,0.441892232,0.058904771,0.328887681,0.561252824,250531.5968,48,44592.00314
4 - Never,2 - Monthly,0.010884261,0.002828892,0.006449541,0.018312103,0.049053798,0.01323829,0.028344811,0.083591319,0.181773683,0.041951815,0.111955835,0.281337646,103056.9166,27,26409.90136
4 - Never,3 - Yearly,0.022362658,0.004174097,0.015349118,0.032475227,0.054830843,0.010559735,0.037098496,0.0803318,0.373469799,0.055277857,0.270544429,0.489287254,211739.3754,53,41276.43349
