EMOT DISTRSS SO SEVERE NOTHING COULD CHEER YOU UP,EASIEST WAY TO TELL US # DAYS USED MARIJUANA/HASH,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
1 - Often,1 - Weekly,0.089580801,0.008185388,0.074443588,0.107438695,0.263448641,0.021982431,0.221721488,0.309901754,0.32738993,0.024549203,0.280106359,0.378459118,898610.6911,261,90648.31857
1 - Often,2 - Monthly,0.064244286,0.007346066,0.05097499,0.080674085,0.296119494,0.029023584,0.241306331,0.357516372,0.234792857,0.025718137,0.187101087,0.290299873,644452.8438,168,71366.91372
1 - Often,3 - Yearly,0.118560911,0.010188772,0.09957497,0.140601627,0.270512632,0.021514131,0.229523705,0.31582101,0.433303206,0.029937279,0.374427925,0.494123738,1189318.478,297,105485.9739
2 - Sometimes,1 - Weekly,0.172561373,0.011042136,0.151496326,0.195879272,0.507486634,0.027150876,0.453079288,0.561717222,0.35615402,0.018417093,0.320077563,0.393940774,1731012.589,486,101948.6477
2 - Sometimes,2 - Monthly,0.100787209,0.008922245,0.084227493,0.120175433,0.464555825,0.03186457,0.401476842,0.528789511,0.208017408,0.017577242,0.174910624,0.245525866,1011025.374,297,95042.81853
2 - Sometimes,3 - Yearly,0.209307495,0.011422811,0.187286782,0.233174501,0.477563143,0.021360856,0.434928115,0.520527632,0.431995321,0.020132216,0.392095977,0.472797029,2099623.466,528,137625.7873
3 - Rarely,1 - Weekly,0.057716252,0.005149196,0.048202629,0.068971488,0.169738024,0.014156251,0.143165105,0.200091362,0.321586046,0.026619651,0.270603024,0.377207077,578968.2663,148,54640.72238
3 - Rarely,2 - Monthly,0.038057114,0.005158034,0.028948384,0.049884709,0.175415654,0.02168746,0.136004924,0.223295104,0.212048365,0.025991508,0.164506415,0.268907695,381761.8196,94,53716.01023
3 - Rarely,3 - Yearly,0.082602821,0.008291697,0.067403832,0.100858403,0.188469423,0.017640314,0.155559874,0.226473948,0.460250166,0.028982245,0.402834903,0.518740129,828612.5699,201,92957.42822
4 - Never,1 - Weekly,0.020172939,0.00552794,0.011603625,0.034847597,0.059326701,0.016397008,0.033774752,0.102165712,0.323326823,0.065726089,0.207194531,0.466268875,202360.5352,39,57096.33931
4 - Never,2 - Monthly,0.013865314,0.004131406,0.007605101,0.025148096,0.063909026,0.018427787,0.035470181,0.112489972,0.222229783,0.054804094,0.13129244,0.350723817,139086.9382,28,41985.49815
4 - Never,3 - Yearly,0.027811119,0.005282831,0.018954782,0.040634055,0.063454801,0.011547636,0.04384928,0.090991977,0.445749659,0.071865578,0.309571744,0.590589834,278981.3068,67,55040.7184
