STATE MEDICAL MJ LAW STATUS AT TIME OF INTERVIEW,WEIGHT IN POUNDS - RECODE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
1 - In State where MJ approvd for med use before intvw,100,0.002353048071949052,0.00027128897566428434,0.0018665297266316407,0.002966002514702756,0.41533402920178863,0.03716602209012033,0.34313088300072453,0.4913652615939833,0.005599223722253385,0.0006456639178087998,0.004440978327500918,0.0070574080766416985,611207.985769858,216.0,69533.01876196482
1 - In State where MJ approvd for med use before intvw,101,0.00035110662125673395,7.343989519896416e-05,0.0002306586045190304,0.0005344179757339644,0.4026084658167083,0.07992812398893265,0.25690942284532287,0.5677993066654243,0.0008354799658438534,0.00017625206657948724,0.0005468732890126882,0.0012762013239787217,91200.50428508,36.0,18980.305057260128
1 - In State where MJ approvd for med use before intvw,102,0.0005266368497891102,0.00012519303308519518,0.00032668012726029175,0.0008488805923391854,0.4569333139139838,0.07273990797955479,0.31832667737886394,0.6025455847884224,0.0012531650234878092,0.00029760363073221403,0.0007776754612707053,0.0020187930177590495,136794.76081641,54.0,32376.616639852105
1 - In State where MJ approvd for med use before intvw,103,0.0006986327594078566,0.00018535919117381223,0.0004099915123117454,0.001190240562946103,0.47573317877779403,0.07568404571791011,0.3303410803521527,0.6253585185131112,0.001662439950230014,0.00044183777786364453,0.0009745865181814203,0.0028343960803024924,181470.97237874,64.0,47991.9012800341
1 - In State where MJ approvd for med use before intvw,104,0.0009278970527721279,0.000213427001513514,0.0005845507518386612,0.00147261676491266,0.6208335398106284,0.061957316503267,0.4911091710261283,0.7353118623757551,0.002207988545421945,0.0005058288369385427,0.0013933881428644208,0.0034971515908250278,241022.737863946,56.0,55476.67805003099
1 - In State where MJ approvd for med use before intvw,105,0.001980696815022815,0.00028442558349855166,0.0014843054739540663,0.0026426553105896693,0.40748532980627344,0.042941470176875114,0.32484310876063077,0.49571544735087303,0.004713190829153446,0.0006820104003416941,0.003523798822554009,0.00630150100699191,514489.153520821,190.0,73217.17980920692
1 - In State where MJ approvd for med use before intvw,106,0.0006303603276313002,0.00016781448861284985,0.000369258548666729,0.0010758878007487102,0.42063117931899374,0.07948458898946546,0.273827754710724,0.5829565405822009,0.0014999814674916735,0.0003977129855568528,0.0008804809569429845,0.00255424407668175,163737.099447196,54.0,43680.82200933189
1 - In State where MJ approvd for med use before intvw,107,0.0007544970085009719,0.00011952787617416909,0.0005488469801793871,0.0010371230422453084,0.5101567974114992,0.06915214955037263,0.37397969702849415,0.6448429818659874,0.0017953723932501648,0.00028377649862967245,0.00130689997569808,0.002465967501318741,195981.800088463,66.0,31240.43756638947
1 - In State where MJ approvd for med use before intvw,108,0.001404621180065488,0.00020031499963323526,0.001054716101513236,0.001870390919649666,0.5532702189857915,0.05267444140068469,0.4466624340869941,0.6551942116119004,0.0033423831522862786,0.00047550808533679793,0.0025113218538846144,0.004447237953263449,364852.589486789,99.0,52011.709178701014
1 - In State where MJ approvd for med use before intvw,109,0.00031107615261222383,9.115249025488597e-05,0.00017267977536149058,0.0005603298843618791,0.3381213666127495,0.07559257507214247,0.20585085412480364,0.5016911893607228,0.0007402249847326497,0.00021778051115713367,0.00040989937326874515,0.001336394206195501,80802.52627464,43.0,23702.84403088606
1 - In State where MJ approvd for med use before intvw,110,0.005066787202460574,0.0003848286621292678,0.004349661592908797,0.005901444012963861,0.4831259447546805,0.026108000837479155,0.43106215839186507,0.5355586598373634,0.012056734172935069,0.0009097220064732506,0.010359844914003456,0.014027625479140559,1316106.048685721,408.0,101248.73340693262
1 - In State where MJ approvd for med use before intvw,111,0.0004165344166973686,0.00012601567776715432,0.00022684090425120879,0.0007647359573341113,0.3632245274369162,0.09191522553597128,0.20430632176227578,0.5589253922986922,0.000991169460118612,0.00029792106131057265,0.0005418628469991316,0.0018123605131355836,108195.47839604599,28.0,33006.142459480354
1 - In State where MJ approvd for med use before intvw,112,0.001498268273277566,0.000204613518384307,0.0011387783716067948,0.0019710181223217553,0.43154693176468145,0.04480954754338173,0.3446975181021326,0.5228203061670939,0.003565222214557887,0.0004881546259771949,0.0027076693515220036,0.004693094736377713,389177.57115533,117.0,53581.93659938784
1 - In State where MJ approvd for med use before intvw,113,0.0007819854245701877,0.0001546714242385153,0.0005255799750979994,0.001163333291017051,0.472513283136922,0.0670538948402884,0.34289542014873187,0.6059457883525554,0.0018607827829386493,0.0003657340667139175,0.0012536885431779598,0.0027610475389784404,203121.95995938,67.0,40483.302459575374
1 - In State where MJ approvd for med use before intvw,114,0.0013635120304361556,0.0003153863457074495,0.0008567134253948122,0.0021694621668519706,0.5377480918725368,0.06932028254041488,0.399188413336335,0.6707122700343262,0.0032445613829181924,0.0007503413991225442,0.002038421142979396,0.0051606880317956495,354174.422371893,86.0,81886.30461256762
1 - In State where MJ approvd for med use before intvw,115,0.005087125976504486,0.00046720895988665675,0.004229831537361196,0.006117107876202695,0.47374124308792726,0.023790454100223374,0.4263402973335891,0.5216202636868329,0.0121051315463104,0.0011242811203503967,0.010043051685627143,0.0145843683707788,1321389.077649133,397.0,120105.9906365855
1 - In State where MJ approvd for med use before intvw,116,0.0010322445024376395,0.00023673827841306055,0.000651154434586901,0.0016360035426476024,0.47456441017241224,0.07396220912819669,0.3323441269772938,0.6210344846253927,0.0024562897690513547,0.0005613000397481136,0.0015518400930088347,0.003885822901162726,268127.154170006,77.0,61700.78025742867
1 - In State where MJ approvd for med use before intvw,117,0.0011349765096782714,0.00021046386000749331,0.0007819893266953158,0.0016470382038054367,0.41136235121962006,0.05476631177202281,0.30733282338602635,0.5239680331952256,0.002700746947310358,0.0005029353087696352,0.001857673590755451,0.003924930183896808,294811.95673234,102.0,54733.08042145893
1 - In State where MJ approvd for med use before intvw,118,0.0025595294611984354,0.0004165757625554977,0.001845587048477699,0.003548669740523212,0.4730870785837443,0.05181865779003825,0.37161635410707733,0.5768308783216753,0.0060905589850860494,0.0010048215072843854,0.004371320306587401,0.008480214314683007,664841.855611515,137.0,108460.74616788264
1 - In State where MJ approvd for med use before intvw,119,0.0009897272840185163,0.00017847141249068574,0.0006889581734243402,0.0014216122892147683,0.4267582691370928,0.0585846353282308,0.3151624004932968,0.546345124600533,0.0023551174127299677,0.0004238150683747476,0.001640503453183249,0.0033799679738347956,257083.238943504,60.0,46564.189671095526
1 - In State where MJ approvd for med use before intvw,120,0.00900483034278574,0.0004733582972965029,0.008102137988756563,0.01000708068701451,0.454230171712149,0.017849422017761764,0.4186758371649829,0.490257492269804,0.021427551893756926,0.0011061781733100917,0.019314839231175003,0.023765758836058023,2339019.0288184388,686.0,124860.67335294424
