State,Marijuana,Alcohol,Year
Total U.S.,8.60%,51.21%,2016
Northeast,9.50%,56.02%,2016
Midwest,8.28%,54.36%,2016
South,7.05%,47.48%,2016
West,10.68%,50.67%,2016
Alabama,5.25%,40.79%,2016
Alaska,16.03%,52.72%,2016
Arizona,7.42%,50.94%,2016
Arkansas,6.98%,40.14%,2016
California,10.51%,49.74%,2016
Colorado,15.92%,57.53%,2016
Connecticut,9.36%,59.09%,2016
Delaware,8.88%,52.04%,2016
District of Columbia,14.08%,68.65%,2016
Florida,7.65%,53.43%,2016
Georgia,7.22%,45.88%,2016
Hawaii,8.18%,43.98%,2016
Idaho,6.93%,44.62%,2016
Illinois,7.90%,53.41%,2016
Indiana,8.75%,50.48%,2016
Iowa,5.47%,57.42%,2016
Kansas,6.91%,55.46%,2016
Kentucky,7.02%,40.94%,2016
Louisiana,6.82%,50.36%,2016
Maine,14.69%,56.97%,2016
Maryland,10.22%,55.88%,2016
Massachusetts,11.85%,59.17%,2016
Michigan,10.55%,53.24%,2016
Minnesota,7.32%,59.65%,2016
Mississippi,5.69%,36.94%,2016
Missouri,8.13%,51.39%,2016
Montana,12.02%,57.49%,2016
Nebraska,7.21%,58.92%,2016
Nevada,8.25%,50.92%,2016
New Hampshire,12.06%,63.54%,2016
New Jersey,6.77%,53.56%,2016
New Mexico,10.50%,48.47%,2016
New York,9.68%,54.65%,2016
North Carolina,7.72%,44.34%,2016
North Dakota,5.61%,59.98%,2016
Ohio,8.95%,51.90%,2016
Oklahoma,5.99%,42.34%,2016
Oregon,15.71%,58.72%,2016
Pennsylvania,8.20%,55.78%,2016
Rhode Island,15.21%,61.03%,2016
South Carolina,6.82%,45.36%,2016
South Dakota,7.60%,58.85%,2016
Tennessee,7.82%,42.83%,2016
Texas,5.91%,47.14%,2016
Utah,5.25%,29.83%,2016
Vermont,16.96%,60.17%,2016
Virginia,6.86%,52.02%,2016
Washington,12.02%,55.80%,2016
West Virginia,6.76%,40.71%,2016
Wisconsin,7.38%,60.86%,2016
Wyoming,6.27%,52.00%,2016
Total U.S.,8.34%,52.18%,2015
Northeast,9.28%,56.66%,2015
Midwest,7.92%,54.36%,2015
South,7.02%,48.85%,2015
West,10.08%,52.07%,2015
Alabama,5.35%,43.94%,2015
Alaska,14.38%,54.98%,2015
Arizona,8.51%,51.19%,2015
Arkansas,7.17%,41.81%,2015
California,9.67%,51.54%,2015
Colorado,16.57%,59.22%,2015
Connecticut,9.59%,60.33%,2015
Delaware,8.05%,53.85%,2015
District of Columbia,11.93%,69.07%,2015
Florida,7.78%,54.83%,2015
Georgia,7.79%,48.90%,2015
Hawaii,7.95%,46.60%,2015
Idaho,6.34%,44.54%,2015
Illinois,7.91%,54.25%,2015
Indiana,8.72%,50.44%,2015
Iowa,4.78%,56.01%,2015
Kansas,7.28%,52.55%,2015
Kentucky,7.06%,42.63%,2015
Louisiana,6.32%,50.03%,2015
Maine,13.66%,60.41%,2015
Maryland,9.62%,58.38%,2015
Massachusetts,11.68%,57.91%,2015
Michigan,10.08%,53.89%,2015
Minnesota,7.60%,59.40%,2015
Mississippi,5.35%,39.52%,2015
Missouri,8.02%,50.78%,2015
Montana,11.09%,57.93%,2015
Nebraska,6.29%,57.43%,2015
Nevada,7.81%,52.81%,2015
New Hampshire,12.06%,63.63%,2015
New Jersey,7.01%,56.67%,2015
New Mexico,10.14%,47.02%,2015
New York,9.56%,54.60%,2015
North Carolina,7.29%,45.84%,2015
North Dakota,5.95%,58.79%,2015
Ohio,7.65%,52.56%,2015
Oklahoma,6.24%,46.04%,2015
Oregon,12.73%,58.85%,2015
Pennsylvania,7.73%,56.56%,2015
Rhode Island,13.02%,59.37%,2015
South Carolina,8.11%,46.17%,2015
South Dakota,6.93%,58.02%,2015
Tennessee,6.34%,43.44%,2015
Texas,6.10%,47.90%,2015
Utah,5.04%,31.31%,2015
Vermont,14.74%,60.67%,2015
